City_ID,City,Lat,Lon,Temp,Humidity,Cloudiness,Wind Speed,Country,Date
93,Nadi,-17.8,177.4167,24.0,57,75,7.72,FJ,2023-09-30 21:04:24
94,Las Vegas,36.175,-115.1372,23.02,35,0,12.07,US,2023-09-30 20:59:39
95,Tiksi,71.6872,128.8694,-2.8,86,100,4.37,RU,2023-09-30 21:04:24
96,Ar Rahad,12.7167,30.65,27.07,60,96,5.29,SD,2023-09-30 21:04:24
97,Island Harbour,50.724,-1.2758,17.4,84,60,2.24,GB,2023-09-30 21:04:24
98,Batken,39.8333,71.0,6.6,46,2,1.75,KG,2023-09-30 21:04:24
99,Vite,17.2833,74.55,21.96,93,87,2.02,IN,2023-09-30 21:04:24
100,Stanley,54.868,-1.6985,10.23,93,75,3.09,GB,2023-09-30 21:04:24
101,Iskateley,67.6803,53.1512,9.74,98,100,3.94,RU,2023-09-30 21:04:25
102,Dudinka,69.4058,86.1778,-7.43,90,6,4.99,RU,2023-09-30 21:04:25
103,Jubail,27.0112,49.6583,31.38,46,0,3.02,SA,2023-09-30 21:04:25
104,Berdigestyakh,62.0989,126.6992,3.06,78,99,2.68,RU,2023-09-30 21:04:25
105,Cromwell,41.5951,-72.6454,16.62,87,100,1.54,US,2023-09-30 21:01:39
106,Mandera,3.9366,41.867,29.16,50,81,7.99,KE,2023-09-30 21:04:25
107,Mocímboa,-11.3167,40.35,22.22,90,12,2.08,MZ,2023-09-30 21:04:25
108,Margaret River,-33.95,115.0667,15.34,71,100,9.17,AU,2023-09-30 21:00:46
109,Kismayo,-0.3582,42.5454,25.66,84,0,6.89,SO,2023-09-30 21:04:25
110,Al Qaryatayn,34.2296,37.2407,20.1,64,96,1.94,SY,2023-09-30 21:04:26
111,Nova Praha,48.5682,32.9027,16.36,44,0,2.34,UA,2023-09-30 21:04:26
112,St. John's,47.5649,-52.7093,13.26,90,20,4.12,CA,2023-09-30 21:00:26
113,Yuzhno-Kurilsk,44.0306,145.8556,15.26,89,100,4.7,RU,2023-09-30 21:04:26
